id,2015-02-01,2015-02-02,2015-02-03,2015-02-04,2015-02-05,2015-02-06,2015-02-07,2015-02-08,2015-02-09,2015-02-10,2015-02-11,2015-02-12,2015-02-13,2015-02-14,2015-02-15,2015-02-16,2015-02-17,2015-02-18,2015-02-19,2015-02-20,2015-02-21
28001,49.18609,57.40437,63.14765,62.48232,55.25846,64.82164,59.47607,46.48999,57.37936,64.73412,54.95532,62.10293,68.68458,67.81163,51.64145,59.09151,59.51137,57.93221,56.94958,70.15354,63.40516
28002,33.21161,36.37734,41.09964,38.42462,54.77858,35.83911,37.03387,34.97987,40.48359,34.48382,36.27458,38.43132,43.63048,37.20223,39.6489,41.63398,35.23035,35.4437,36.97209,40.453,40.16172
28003,54.29524,51.66679,53.37407,49.97764,54.20951,51.47918,57.82551,53.44403,52.8089,52.15854,54.91313,59.38278,53.56511,53.58453,null,52.3711,56.7894,52.92323,52.27747,62.40136,57.46196
28004,35.34589,45.56301,36.77545,47.32995,43.68735,47.18795,40.08719,35.50058,48.84023,42.68378,44.77864,41.95981,42.0703,41.13691,40.83134,44.67665,42.21632,43.14195,39.69992,40.09613,41.25721
28005,38.18423,44.78829,45.60134,47.61975,55.9672,48.44565,47.0101,38.83603,42.11388,48.88771,45.70858,39.59737,45.56725,45.48143,41.14136,39.36818,46.08032,45.66928,43.05001,45.50874,44.20939
28006,40.38663,88.28933,91.02034,85.05392,104.91144,87.70176,55.09999,47.98834,77.01518,87.51541,84.41439,81.84424,89.71856,48.90677,50.50969,96.64226,86.37771,89.29262,87.44532,95.07527,51.73222
28007,null,null,null,null,null,null,null,null,null,null,null,30.63341,31.47171,26.58245,null,null,27.42266,28.49488,28.73187,28.04714,24.96737
28008,36.62621,53.44564,43.56076,39.7549,50.20847,52.61794,39.10469,35.09501,52.1175,47.77347,43.0196,47.69215,49.34316,39.01183,33.6872,45.23868,47.38981,42.02935,56.55745,49.00083,41.69705
28009,23.29928,38.90039,38.4431,35.67347,36.93132,34.47344,36.93948,24.45735,38.37357,41.38398,38.62349,35.14135,30.0448,34.3321,22.65105,33.0446,35.71583,37.64408,39.52951,29.28828,37.14262
28010,36.49457,46.86287,44.00502,45.53221,44.06973,46.57608,38.54581,33.16481,46.20604,49.53474,46.38328,41.99835,40.12943,40.15099,37.35166,45.096,46.95915,42.44801,42.37066,44.97973,39.65292
28011,35.64213,38.57346,33.84688,40.89793,35.25464,43.55012,39.62492,35.18791,39.20362,42.60197,39.45604,36.23231,37.62217,37.49148,39.47943,43.70993,36.62084,35.74053,38.40583,45.91231,37.97332
28012,31.05804,36.10194,39.08442,38.2713,44.46917,45.96375,44.92238,33.12104,55.47287,44.282,42.85134,42.79813,37.04562,35.05024,29.36549,42.39079,43.78814,43.52615,42.6667,42.46626,36.95614
28013,41.5884,40.51532,39.37078,45.07866,40.50328,39.00647,40.88916,38.41677,42.986,39.58187,38.998,38.63027,39.90905,40.82156,42.04489,40.13694,41.79437,42.79414,40.94226,41.69034,41.26762
28014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
28015,30.88766,41.78573,43.98685,39.06865,48.35728,40.47401,34.94298,30.01085,39.38341,45.02232,37.82288,39.47192,39.04131,38.57725,29.50329,44.64506,36.96779,40.52993,44.33633,41.98563,36.6901
28016,40.54702,34.71374,37.92427,35.46191,33.64933,44.48991,38.4703,40.44124,43.56719,36.53735,33.81441,33.44887,37.65433,38.88473,41.88202,37.15894,34.85634,35.30836,30.69587,39.84383,39.17799
28017,29.58138,41.10599,37.57809,42.19285,47.27267,42.65138,35.7877,33.15104,38.86229,33.61356,36.06764,32.17487,37.82006,31.69028,31.66623,45.16801,35.17087,33.13664,38.36521,34.5872,39.11804
28018,28.96793,34.10004,35.27513,35.05516,43.74482,39.02807,38.54759,29.23955,33.40119,39.59684,34.65915,33.46346,40.82044,38.83577,31.47673,37.7657,35.51663,32.17213,36.22658,38.19105,35.78226
28019,29.34,43.23823,39.01224,41.42306,63.08198,37.65648,43.23752,32.17481,45.80792,37.77011,44.01494,38.92793,39.22487,37.24856,39.2812,40.33579,43.47653,40.58554,35.70898,42.93166,31.98228
28020,33.90241,35.7249,36.79845,36.2507,42.99843,38.9912,38.46554,32.66999,35.57297,38.44392,43.62569,37.09113,33.6025,44.39083,34.31135,41.24264,38.71126,40.52117,37.64185,28.20208,42.62553
28021,32.99096,38.93016,44.73605,51.69645,46.00075,44.30534,46.49666,38.79423,44.91946,46.04473,44.61742,45.40466,43.60364,44.15578,39.72665,39.86547,43.80547,42.29083,47.20572,46.51498,41.56185
28022,44.12111,47.34991,49.03388,44.36424,49.46578,50.10608,45.7614,40.31244,49.69752,43.59294,46.13963,52.63065,50.61489,43.90885,48.63894,48.3031,47.16634,43.68742,50.85528,48.47281,45.48203
28023,45.45148,40.28097,47.62364,46.69613,43.21398,46.16894,55.31497,43.50706,43.00202,45.75256,47.81024,48.18325,54.37612,54.04029,46.19608,52.44631,41.53644,47.49272,47.80847,50.70093,54.40607
28024,25.81967,42.06801,36.52992,40.3963,41.48583,39.28449,32.92548,24.68298,43.74588,36.42469,38.78482,34.85111,39.32018,33.09218,25.59884,43.02654,40.81005,33.87767,34.48579,39.88113,34.31745
28025,29.50127,41.79134,41.19087,37.44644,39.17229,41.69412,38.47718,33.00481,49.63202,37.97531,38.02676,38.73808,39.29508,36.62665,36.68757,40.06659,43.41072,38.43935,38.09091,42.32212,37.22023
28026,33.53465,42.05635,44.77078,43.07784,42.70751,39.93989,37.94355,30.93188,43.82758,38.82367,39.69345,35.57207,40.4507,35.05389,39.37229,32.21992,37.18575,35.49621,37.29812,41.21012,35.15199
28027,33.11423,38.22309,45.01789,40.14303,42.73043,49.64593,39.65913,30.92384,38.23717,39.10903,39.75338,38.64536,51.62977,38.57184,36.89501,42.71928,37.84567,41.68011,39.79256,43.0919,38.27089
28028,31.08652,52.92297,43.86416,52.92427,58.07405,51.10103,38.68185,31.11329,49.25954,43.63032,45.63912,52.52423,51.61458,38.16347,37.16241,47.41998,53.66397,43.9171,50.76766,43.50671,38.46503
28029,36.06773,39.62481,37.92624,35.1185,56.64956,40.27379,42.26481,33.57443,41.70038,34.50597,37.21302,50.58045,89.5043,41.59385,36.86569,35.95075,41.08111,38.22086,36.66776,44.19938,41.0278
28030,28.42004,39.92595,41.327,36.75792,33.71265,40.6977,36.84169,25.57307,32.94959,40.21886,38.70984,38.08186,42.3998,36.94513,25.30018,35.78409,35.7896,35.86504,43.70883,37.40268,38.47156
28031,28.2096,38.12325,36.84335,38.78807,40.9087,36.40932,36.46629,30.02966,32.69132,39.40171,36.71881,37.47963,39.68088,37.01663,31.27675,35.33082,38.6507,33.28499,35.09509,39.16049,38.52093
28032,42.02497,37.14625,37.55136,36.46457,39.40066,39.84451,42.27431,43.00404,35.94902,34.78109,36.3299,35.15609,39.1351,39.67201,37.82721,42.46158,34.10551,36.57433,36.16259,42.89954,41.03649
28033,26.13629,17.85096,16.66234,16.69186,19.73839,17.44649,33.32403,22.51383,14.86108,17.41372,16.80757,17.97102,17.97673,30.70377,19.52433,15.23028,14.96104,18.91949,15.8621,23.81094,32.13835
28034,49.26476,52.93837,47.74497,66.28589,57.34026,47.53533,44.20604,42.96037,43.17579,47.10269,61.0312,50.20391,48.79041,46.47598,48.76596,48.95803,46.96928,51.21352,46.40682,60.32176,43.52571
28035,33.9272,42.14298,37.11289,34.88321,39.04306,39.09424,38.43166,33.65103,32.52922,36.65127,36.53946,36.85266,37.92586,34.66842,33.90975,37.08068,34.87845,33.88094,35.75178,42.34113,38.99436
28036,27.99722,32.20986,31.1482,27.44333,32.26563,34.25555,28.83299,28.44749,34.39942,31.73359,32.77246,36.34198,29.22213,30.94434,24.75791,30.19121,30.7253,28.37151,28.86726,27.08686,30.2647
28037,51.30739,56.49447,52.56834,51.1692,54.30876,54.85402,47.62158,49.00351,54.54581,53.11268,53.02727,54.64751,61.20437,51.72122,48.80879,52.99986,53.1237,51.07128,51.82724,56.65721,47.48946
28038,33.213,36.72193,33.6418,35.84672,37.53538,35.09805,37.18035,33.14382,33.88991,34.33511,31.94508,34.0905,34.43891,35.11529,33.24876,32.93119,36.09609,28.53402,34.24137,34.14379,35.81069
28039,31.17874,36.99252,45.38277,37.06145,42.10816,33.82013,37.4012,31.47881,31.12736,36.68112,34.91078,30.80644,34.62256,35.32117,30.83613,32.72937,31.09217,32.62547,29.97355,41.06752,37.15112
28040,33.24772,48.57444,53.16329,62.88431,52.79426,44.11125,44.50046,41.46011,38.77068,61.16565,69.22607,48.83483,63.74777,56.21686,35.16424,63.87335,61.34561,76.70119,40.66304,72.74407,50.14023
28041,38.31428,40.93749,38.32125,38.2524,37.43332,44.70542,39.10134,34.9285,35.68979,38.04931,38.92833,38.14782,42.7977,40.39282,30.99984,44.94623,33.36439,36.39736,39.25219,40.42833,38.65656
28042,33.23465,null,null,null,null,null,62.0356,41.90947,null,null,null,null,null,64.28844,40.2667,null,null,null,null,null,70.20185
28043,46.00949,46.48839,45.77248,41.79074,42.71955,41.53133,42.51437,40.76115,43.50766,49.45768,44.52479,44.14439,46.75794,44.37177,42.95315,44.28021,38.80183,44.66197,48.10418,47.87771,44.32471
28044,33.78196,39.96047,41.4093,40.98388,37.90733,39.52281,42.54269,40.76255,39.99383,38.59557,35.37276,38.91798,37.28933,37.37911,33.7346,42.48931,38.75356,38.60989,44.69776,38.97597,37.23963
28045,36.03812,38.69144,38.74004,40.05841,43.11895,42.59628,44.27565,35.90946,41.84502,46.63581,43.74555,44.15987,47.59377,42.56597,36.22889,45.12088,47.60026,39.28866,40.67261,40.99464,42.27919
28046,58.60564,41.01895,50.26676,46.34124,46.83159,52.05763,64.89867,62.02922,44.24844,40.23884,41.82333,50.66547,52.59084,60.87997,57.39802,45.83006,37.9848,42.64775,43.00149,52.91031,60.98524
28047,33.78733,39.97791,41.31313,35.3403,36.60888,45.8709,45.01135,28.30069,41.34192,41.59784,35.51599,34.78143,44.49988,36.93404,37.6998,45.21589,39.9568,37.47194,32.72592,46.96585,40.82248
28048,null,34.65385,null,28.78605,35.45413,36.34727,34.91345,42.23704,25.55513,25.9285,25.47688,30.54796,35.09097,30.80436,52.90526,null,20.80037,18.31679,26.14476,25.80081,50.11258
28049,37.05743,42.66794,43.01927,40.46442,39.42106,38.14303,40.47375,34.70471,31.06117,33.27714,33.61487,38.78061,38.06886,42.19969,37.90988,35.69936,35.88959,27.79947,33.76899,38.46486,45.04266
28050,46.87367,27.53331,26.06133,26.88158,29.19645,33.04709,49.15565,null,28.096,30.26454,28.58455,30.41888,31.51228,51.86324,50.42543,28.57804,28.41729,29.7414,25.71334,33.1975,50.21656
28051,43.95593,50.57387,42.63153,43.90816,49.6082,44.76446,45.80929,42.37472,45.40212,50.97511,40.38768,57.8267,39.79253,43.52549,43.13986,41.26267,40.20154,39.94085,42.25368,42.53751,45.83437
28052,12.70806,11.85818,13.69244,9.93616,14.08885,16.47435,18.5364,10.7429,11.81313,13.25429,10.69918,12.67965,15.55301,20.10605,10.12816,16.2765,9.84209,14.4158,13.63711,20.40204,29.55353
28053,30.13034,30.919,37.2288,33.693,32.98783,40.03667,33.22448,38.1722,37.89364,33.80157,37.95124,34.03015,33.40981,31.7032,30.39551,36.56555,33.09968,32.0314,34.09059,36.4995,32.97321
28054,34.46336,35.63874,34.87186,32.80121,37.41199,33.93593,36.31577,33.59951,33.84413,34.85142,32.98148,35.004,36.87167,35.57911,36.04791,35.15512,36.79505,36.642,37.09392,36.05913,37.55124
28055,null,25.59129,19.9295,28.00077,null,32.80056,21.42308,null,19.52833,null,20.96471,24.39282,21.39393,30.62323,50.146,16.23958,43.268,null,36.88286,23.82903,28.87719
